avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,povertyPercent,studyPerCap,MedianAge,AvgHouseholdSize,PercentMarried,PctPrivateCoverage,PctPublicCoverage,BirthRate,region
21,230.9,483.5,27323,29.5,0,44.2,2.35,51.7,48.1,49.4,8.014184397,South
68,213.7,480.3,35321,25.3,350.0991948,39.8,2.59,41.1,53.5,45.3,4.627249357,South
70,185.9,456.8,36285,21.7,0,44.8,2.58,51.2,53.6,45,4.906586148,South
157,211.8,500.6,39506,19.6,0,43.4,2.42,52.7,61.2,42.4,4.203166439,South
41,183.7,457.4,35470,24.7,0,39.9,2.57,43,56.1,43.5,4.488542405,South
69,204.5,467.1,39303,19.1,0,40.7,2.57,51.5,59.8,40.6,4.405016825,South
105,219.1,479.3,37151,20.5,0,44.9,2.36,55.2,59.8,44.2,4.382650748,South
61,213.5,509.6,37443,20.2,0,40.7,2.6,49.1,53.7,41.1,6.558627264,South
25,219,457,39753,19.1,122.7144435,43.2,2.49,56.7,59,43.4,3.771361226,South
55,222.6,527.3,42837,17.6,716.8458781,42.2,2.53,54.8,66.9,37.8,5.078225186,South
32,196.5,449.1,35379,23.4,0,45.8,2.49,50.8,48.3,52.2,3.981937603,South
124,185.3,484,41235,17.8,0,42.3,2.58,53.4,63.7,37.8,4.075765263,South
52,211.3,414.7,31330,26.4,0,44.5,2.29,53.3,56.6,48.7,5.253623188,South
871,181.6,484.4,47199,17.7,276.9628914,37.3,2.39,49,71.1,29.4,4.759828048,South
22,247.6,413.7,28524,41.9,0,40.3,2.38,32.9,45.4,52.1,4.662698413,South
63,218.3,484.4,33595,24.8,0,37.1,2.5,41,50.8,45.2,5.484147386,South
99,187.3,438.8,34614,21.8,0,39.9,2.59,55.2,58.8,37.1,7.666385847,South
34,217.1,538.7,36255,20.3,0,43.5,2.49,57.3,57.8,40.9,4.558176729,South
85,193,421.9,41802,16.5,0,42.9,2.43,51.9,63.6,40,6.664803689,South
132,170.6,467.4,53945,13.6,0,46.5,2.49,61.4,65.1,40.7,4.243210863,South
137,195.9,447.5,39528,17.4,0,42.7,2.58,52.1,62.5,39.6,4.451140766,South
74,210.7,433.7,34882,23.5,0,42.6,2.61,53,54,45.8,3.799063738,South
55,211.2,531.4,36886,19.3,43.14622255,39.6,2.53,56.5,60,38.6,4.994346023,South
193,176.3,434,43113,20.9,133.1830755,37.6,2.56,45.8,62.7,37.2,5.831783426,South
80,220.2,521.2,40766,20.6,0,43.1,2.43,53.9,61.7,38.5,2.19816273,South
76,216.9,490.5,42839,15.5,0,39.4,2.57,53.2,65,34.1,3.440273038,South
172,187.4,450.4,51303,15.5,22.79020477,38.6,2.55,50.8,65.4,35.3,5.317306713,South
35,229.6,461.4,34801,20.8,0,44.3,2.51,55.7,57,42.7,5.090180361,South
119,207,482.9,37392,20.6,21.84789496,43,2.6,60.4,58.9,42.4,6.564217382,South
241,195.4,446.6,50935,13.9,0,30.3,2.76,54.2,72.1,29,6.724977636,South
13,137.3,408.9,50358,12.5,0,45.5,2.55,57.4,74.6,32.5,0.702028081,South
48,191.1,488.7,36390,23.4,0,40.8,2.52,51.7,60.4,43.7,3.724928367,South
91,215.6,455.6,40683,20.8,0,42.1,2.42,52.1,61,40.5,4.063986165,South
66,220.1,470.1,35884,18.9,0,42.2,2.45,61.3,59.9,41.7,3.83125269,South
22,198.4,492.4,33776,23.6,0,43.7,2.4,52.3,52.7,41.3,9.322033898,South
14,160,483.4,31996,19.2,0,49.4,2.25,66.7,60.2,44.1,8.686210641,South
56,244,480.2,36643,20.3,0,44,2.44,56.9,60.2,41.6,1.62069946,South
159,189.2,442.4,37693,20.8,134.1327646,36.1,2.38,48.3,61,36.1,3.640481715,South
77,193.5,532.5,37952,22,0,40.5,2.51,50.9,58.6,45.3,6.638495093,South
159,198.7,492.7,43269,18,0,46.1,2.4,54.7,63.7,42,3.126436782,South
128,187.2,496.6,52640,13.4,14.58363716,38.6,2.7,57,69.5,29.8,5.976467659,South
365,177.6,450.4,53799,14.7,26.79061793,32.9,2.76,51,72.9,23.5,4.947730667,South
63,255.9,535.4,31397,24.5,0,38.6,2.61,50.2,48.7,45.7,5.677867903,South
40,227.4,465.4,44111,18.7,0,41.9,2.56,56.2,61.9,40.4,3.240589198,South
210,185.2,493.9,39905,17.7,10.42252934,42.2,2.52,54.1,56.5,36.9,6.406013616,South
1757,202.7,461.5,44015,23,393.3612559,34.9,2.65,38.7,61.3,33.4,6.405574323,South
48,225.1,486.5,43659,15,0,41.6,2.53,59.1,64.4,36.5,3.646563815,South
39,230.1,514.7,41590,17.5,301.6818765,43.2,2.57,57.4,66,40.2,2.998236332,South
423,187.2,472.8,38840,18.5,344.4075234,44.3,2.32,53.9,64.3,40.2,4.794040316,South
285,162.5,470.6,58291,11.3,102.2791197,39.4,2.7,55.6,70.2,30,5.056955471,South
123,208.4,484.6,52339,15.4,32.32584451,37,2.82,51.9,67.8,32,6.760732914,South
19,217,462.6,40251,17.5,0,40.2,2.65,49.2,60.3,35.5,9.777777778,South
56,196.1,444.8,37632,20.1,0,45.7,2.36,52.8,57.8,46.9,6.395035078,South
49,221.3,526.2,37453,22.6,0,41,2.59,55.8,54.1,44.9,3.464419476,South
14,174.1,468.4,34884,20.6,0,45.8,2.61,51.8,57.9,41.1,4.545454545,South
102,209.6,453.3,36942,19,0,39.7,2.51,50.2,55,43.9,6.99356005,South
267,176.7,451.1,43212,16.7,47.50518598,39.8,2.29,50.8,68,33.9,4.081698817,South
44,201.4,434.8,33573,23.3,0,42.2,2.48,49.9,54.7,43.5,6.408629442,South
87,205.4,443.1,36205,21.5,0,36.9,2.32,49,69.2,35,5.005740528,South
72,203.7,459.9,35400,21.9,0,42.5,2.65,53.9,58.8,42.2,5.225066196,South
232,139,443.4,97936,5.6,118.1072603,38.9,2.86,66,86.6,16.5,4.474464442,South
219,179.2,463.3,60955,10.1,23.27186974,40.1,2.72,56.6,74,26.8,4.280356467,South
156,245.2,394.3,42471,20.4,0,38.9,2.68,44.5,59.7,34.1,7.105682422,South
25,182.2,401.3,66878,10.7,0,31.3,3.05,58.1,63.3,23.4,10.78180889,South
163,168.3,499.2,42128,17.9,11.33080279,36.4,2.77,50,54.4,37.6,5.728131815,South
76,194.6,433.4,44551,17.5,0,49,2.46,55,54.3,42.4,8.072153326,South
16,138.8,289.2,58867,9.4,0,44.1,2.6,62,72.3,28.2,3.583061889,South
6,213.4,435.7,55177,11,0,45.1,2.63,61.1,75.7,28,2.949061662,South
81,169.1,387.6,52785,16.9,454.2169918,35.5,3.04,52.1,57.7,32.6,5.556068297,South
58,160.1,398.2,58792,11.2,0,40.6,2.59,59.6,67.3,28.4,4.630829016,South
9,110.4,334.4,36821,19.9,0,34.9,2.92,57.9,45.2,34.5,2.595628415,South
45,140,388.9,50107,13.5,0,51.5,2.45,57.5,63,37.3,6.419479801,South
140,181.8,415.6,52886,14.7,0,38.7,2.94,52.8,62,31.1,4.583083383,South
13,212.3,458.2,36027,18.3,0,48.5,2.06,56.5,64.2,32.9,6.068601583,South
45,151.6,341,40680,24.9,0,35.3,2.85,39.9,52.1,35.8,8.618283322,South
430,177.3,475.2,51048,14.2,8.956801347,30.2,2.89,52.8,70.2,29.3,5.835105126,South
2451,157.2,399.2,50699,18.3,286.6547965,33.1,2.9,45,61.1,30.8,5.991129949,South
24,154,372.8,57177,12,0,48.6,2.55,61.9,64.8,32.7,3.865213082,South
55,190.7,393.2,44397,15,0,46,2.52,57.8,59.9,36.3,3.008595989,South
200,184.8,427.6,41883,20.1,0,37.7,2.63,46.6,59.7,36.1,7.433542774,South
464,169.3,429.3,73788,9.9,2.88756959,35.5,2.85,54.5,69.6,21.7,6.533051164,South
193,151.8,424.7,41641,26.4,51.15398745,25.2,2.58,37.4,72.6,19.8,4.690848607,South
19,160.4,387.7,40179,13.8,0,42.1,2.27,45.9,65,29.8,1.812688822,South
16,173.3,408,27875,32.4,0,31.7,3.31,32.8,33.5,45.8,6.831489915,South
97,188.4,427.7,41316,17.5,0,41,2.71,52.5,60.3,36.9,2.5472273,South
44,224,508,33134,27.4,0,42.3,2.35,43.4,53.6,44.2,7.939133311,South
206,172.6,490.9,51138,14.3,191.7315758,34.7,2.57,49,68.5,31,5.823193854,South
577,199.4,492.8,39812,24.1,365.863358,36.6,2.55,39.3,56.7,39,5.272379222,South
396,192.2,490.4,45979,18.4,5.030484738,36.1,2.55,47.3,62.2,33.7,6.064227035,South
25,200.1,467.6,36350,23.3,0,39.9,2.48,46.4,49.8,38.6,2.079107505,South
10,133.3,509.4,59300,12.2,0,42.6,2.57,64.9,75.2,30.3,7.70252324,South
28,224.9,504.4,34116,23.3,0,38.5,2.48,48.2,50.5,37.6,2.469135802,South
38,177.8,473.5,35385,28.2,0,42.2,2.51,37,49.4,47.1,8.809020437,South
52,216.1,480.4,31835,30.9,0,38.3,2.33,42.8,49.3,34.3,2.773207991,South
64,197.8,503.8,40642,23.5,258.7609049,39.8,2.61,46.4,57,39.9,5.389797883,South
759,178.8,487.1,46831,18.4,346.947866,33.2,2.57,39,65.9,30.3,4.474235159,South
20,250.7,512.7,25402,43,0,33.3,2.26,28.1,36.3,51.1,4.305555556,South
48,212.2,570.8,41651,20.4,0,41.8,2.43,42.5,60.3,39,4.203655352,South
77,211.4,459.2,32615,24.1,0,35.8,2.65,43.7,49,47.8,8.601712189,South
37,140.5,479.6,32318,29,0,37.9,2.54,42.8,46.4,43,5.698070375,South
49,222.7,482.7,40668,22.8,0,37.6,2.63,46.2,56.5,42.2,3.728510828,South
155,205.9,515.4,45226,19.4,0,35.8,0.0277,46,58,37.5,6.645642202,South
80,225.1,586.2,47377,19.9,0,38.4,2.61,39.7,62.8,35.9,4.869631902,South
47,217.7,518.6,37130,24.6,0,39.6,2.49,46.1,55.6,45.6,4.002444241,South
941,188.6,473.9,47024,15.8,430.9208641,38.7,2.57,43.1,58.6,34.3,5.165714506,South
78,208,499.6,37968,21.7,0,38.4,2.65,46.6,57.5,42.2,7.155147691,South
377,182.9,487.3,51340,15.1,79.13435347,34,2.55,44.6,67.8,26.3,5.986172971,South
203,198.7,467.5,47382,17.6,20.34070684,36.6,2.68,49.4,63.4,33.4,4.817078346,South
37,209.6,464.8,44139,18,0,38.6,2.46,52.3,61.3,32.7,5.144490314,South
90,205.7,436.3,32889,29.7,0,27.4,2.56,35,63.4,30.3,4.279213153,South
215,186.5,494.6,58818,12.3,0,35.3,2.79,52.2,64.3,28.9,5.711293942,South
22,181.9,379,26732,41.4,0,34.6,2.55,34.6,36.8,39.8,4.463336876,South
63,186.4,457.3,30636,29.4,37.88596325,39.3,2.5,42.9,46.9,45.3,4.979184013,South
78,181.5,447.2,34522,31.1,0,33.8,2.66,40.6,53.1,40.9,3.688606085,South
680,193.6,466,35468,27.9,523.5911164,35.4,2.38,30,53.9,37.6,5.131693567,South
318,199.7,480.9,40877,23.6,140.3410287,34.7,2.55,41.9,55.1,35.6,6.070254725,South
41,180.7,458.7,51304,16,0,36.5,2.7,52.2,67.4,29,6.549831829,South
54,188.2,507.4,44469,18.3,44.94180037,42.6,0.0256,45.3,59.2,37.7,4.275724276,South
279,189,484.9,40406,19.8,75.67673924,37.4,2.68,44.2,57.1,40.6,4.202589635,South
18,172.2,431.7,33322,25.3,0,39.8,2.54,44.2,51.4,41.3,10.40892193,South
46,191.3,456.4,36666,24.9,0,38,2.59,49.5,46.5,35.4,3.43803056,South
64,202.5,500.4,39561,21.2,82.69246672,41.5,2.6,51.8,57.2,39.8,6.366608963,South
75,233.1,516.9,45615,17.9,0,33,2.92,43,61.6,32.6,5.677721702,South
92,190.3,470.8,60751,12.1,37.87018102,37.2,2.83,48.7,66.5,28.2,6.11124004,South
28,212.5,461.5,35004,24,0,39.2,2.59,42.3,44.6,47.8,3.087986464,South
48,201.2,497.4,47477,16.1,0,38.8,2.69,46.7,64.7,32.3,4.363776791,South
87,200.6,460.8,47225,20.8,0,36,2.83,44.7,59,36.1,4.727439304,South
202,217.8,530.4,32683,30.1,0,36.6,2.68,43.1,56.3,37.8,6.971510409,South
106,198.1,499.7,46713,18,0,36.7,2.77,49.5,60.9,36.3,6.463878327,South
118,200.6,474,42075,21.8,0,37.7,2.58,43,51.3,40.5,6.284065406,South
458,177.7,494.5,63441,11.2,115.9591824,39.8,2.7,54.3,67.8,30.6,5.430602081,South
10,142.5,389,27522,32,0,43,0.0248,33.8,38.7,42.6,2.925809822,South
234,213.2,493.1,49044,20.9,96.51493349,35.2,2.78,47.7,59.8,32.8,5.230870955,South
65,220.2,463.9,38998,22,0,41.7,2.6,50.1,56.1,42.4,4.316239316,South
113,180.3,529.1,45331,18.3,0,36.7,2.69,48.5,60.1,36.7,5.605176173,South
85,204.5,478.1,46682,13.9,0,30,2.82,55,69.3,31.8,7.229203118,South
125,224.8,536.6,29749,29.1,0,39.2,2.54,46.8,47.4,47.7,6.368497812,South
110,205,485.3,36003,22.2,0,40.9,2.51,44,52.8,42.4,6.027155315,South
42,182.8,526.7,51550,20.5,0,35.4,2.61,47.1,68.1,30,5.538105472,South
30,195.6,443.2,33959,22.5,0,39.7,2.48,46.6,45.9,33.2,5.737356566,South
24,148.2,429,53679,24,0,40.4,3.04,36.1,68.3,32,6.799830004,South
41,227.5,524.4,36644,26.8,0,41.3,2.36,46.9,56.1,40.1,4.891661195,South
242,188,478.2,46701,15.4,83.92938741,40.6,2.34,49,65.5,38.8,5.235413921,Northeast
200,188.2,472.8,36066,20.1,14.571312,46.6,2.24,54.1,57.1,47.6,5.029215359,Northeast
607,173.3,479.6,61436,10.8,500.0396583,41.9,2.37,49.4,74.3,30.1,3.772833827,Northeast
69,167.5,435.2,41035,15.8,0,44.9,0.0248,51.3,63.4,42,3.482221569,Northeast
136,165.4,491.9,45807,12.9,18.29524872,47.4,2.18,54.1,64,37.7,5.103569855,Northeast
308,193.2,478.4,45556,13.8,300.0500083,44,2.28,49.6,67.6,39.2,4.823685961,Northeast
108,169.4,484.9,50002,13.9,501.8190942,47.2,2.27,51.5,64.3,40.4,4.550819672,Northeast
99,170.6,436.6,47905,11.7,58.87721158,49.8,2.25,53.5,65.3,42.9,5.786534285,Northeast
154,189,477.6,40120,16.1,0,45.7,2.6,48.1,59,44.4,4.600845561,Northeast
355,187.5,507.3,42728,18,438.7918162,41.3,2.36,48,63.3,39.4,4.133114215,Northeast
53,194,478.1,36994,20.3,0,49.8,2.24,52.8,53.8,50.6,6.290471785,Northeast
82,173.6,451.7,55630,10.5,56.90062306,45.2,2.26,54.2,69.4,39.1,5.263857504,Northeast
139,200.2,458.3,39001,17.3,0,44.9,2.34,51.2,56.1,46.9,4.712136228,Northeast
93,180.1,484,46598,15,0,45,2.26,53.7,62.1,41,4.975063861,Northeast
110,216.7,501.5,38057,18.5,0,46.8,2.18,51,51,52.5,5.793688177,Northeast
451,173.7,497.7,55482,11.2,159.0702345,44.1,2.4,52.6,72.2,33.1,5.050755137,Northeast
183,172.2,519.3,39808,18.5,261.9677917,41.5,2.33,44.2,66.4,43.6,4.613602728,South
977,176,468.1,86654,6.7,69.12503656,38.4,2.66,51.7,81.6,25.1,5.291115354,South
1714,171,472.3,67766,9.8,216.57313920000001,39.1,2.56,46.2,75.2,29.7,5.073719664,South
153,175.2,444.5,92446,7.2,0,40.6,2.87,52.7,82.1,24.3,3.454078056,South
69,185.6,465.1,49573,16,0,40.1,2.7,50.2,61.6,41.2,5.404323459,South
326,171.1,456.2,84500,5.9,89.48439094,42.2,2.73,56.7,84.5,23.9,4.31864301,South
207,195.5,484.3,62198,10.6,419.9957024,40.1,0.0273,52.5,72.9,30.4,4.297102051,South
239,186.7,420.5,86703,7.2,0,37.7,2.84,50,82.3,24.3,4.693221178,South
84,185.4,481.6,42279,17.5,0,43.8,2.41,47.9,61.7,45.6,5.456570156,South
367,155.6,435.9,83698,6.5,114.1357074,39.1,2.68,54.7,81.6,23.2,4.557287265,South
64,154.8,417.1,47441,12.4,0,44.5,2.47,56.5,62.5,41.4,6.553245117,South
450,169.9,485.5,79403,8,79.90730752,40.1,2.69,54.7,81.9,26.9,6.156408818,South
346,131.9,418.1,106871,6.1,165.9147326,38.8,2.78,58,84.7,19.3,5.158672656,South
59,180,461.7,53288,13.8,0,46.2,2.39,47,68.1,42.6,4.528650647,South
1292,120.1,392.9,97279,7.2,184.5947952,38.5,2.76,53.2,77,23,5.281994667,South
1302,172.7,401.9,71904,10.3,21.98925825,35.8,2.86,38.5,68.6,27.3,5.044283329,South
100,173.8,429.6,80650,7.5,0,43.5,2.75,57.4,80.3,28.8,5.627462015,South
180,181.5,423.2,84686,8.6,17.95122652,36.3,2.79,53.9,80.2,25.2,5.419453329,South
64,216.5,511.9,38376,25.5,0,37,2.26,32.3,56.2,46.8,5.312389693,South
111,161.9,454.6,54836,11.7,213.2650885,49,2.3,54,72.1,40.1,3.328451604,South
320,181,457,54606,13.8,73.53678511,40.4,2.5,49.4,68.9,36.3,5.93936457,South
221,204.3,532.1,51927,16.9,224.6751978,35.5,2.62,44.7,66.7,35.2,5.35618844,South
164,186.8,499.8,55691,11.9,0,49.1,2.45,50.7,67.4,43.6,5.625635809,South
1419,226,497.2,41895,23.3,886.0671964,34.6,2.47,26.6,56.1,43.9,5.449538255,South
685,163,505,64150,8.9,41.99073404,51.3,2.24,53.2,74.2,44.1,3.521180903,Northeast
313,157,464.3,49890,13,125.1681948,45.8,2.22,45.6,70.7,44,4.573604784,Northeast
24,189.6,430.5,53244,14,0,34.8,2.86,50,61.1,29.6,7.0703125,South
78,158,424.8,55139,15,0,42,2.68,48.3,64.6,33.5,5.054495913,South
243,139.1,332.2,37935,32.3,44.49041788,28.3,3.73,46.6,36,36.3,6.921416298,South
83,173.1,424.5,44110,16.8,0,37.3,2.77,49.5,54.7,32.9,5.69874932,South
14,193.7,434.9,52548,12,0,39,2.42,63.9,61,27.3,7.705934455,South
261,184.8,403.5,43379,19.3,83.51998785,34,2.45,45,63.6,33.3,6.108318631,South
30,181.5,480.2,39377,15.8,0,37.6,2.41,48.8,59.5,35.9,6.288032454,South
35,167.3,345.6,29782,38.8,0,32.3,3.51,44.3,27.2,45.3,4.799131379,South
74,152.8,368.3,62752,11,0,40.4,2.9,56,71.4,27,5.291214215,South
13,182.9,383,55493,13.5,124.9219238,33,2.84,55.5,58.4,25.3,7.146724418,South
113,180,389.3,59904,10,0,39.3,2.86,57.1,63.8,29.2,7.013024188,South
122,167.6,417,42753,15.4,0,48.2,2.57,55.4,61.7,40.8,6.943899568,South
12,158.8,412.1,60738,11.4,0,34.1,3.01,62.2,57.7,26,5.57582074,South
51,191.1,428,41872,16.4,0,41.9,2.54,58.1,58,31.8,6.038978864,South
13,112.5,340.9,33291,32.6,0,29.2,3.16,52.3,34.4,37.5,9.67556704,South
15,126.3,321,26336,31,163.4654679,30.5,3.26,40.2,32.9,48.6,4.962779156,South
11,168.7,421.4,50818,9.8,0,33,2.84,60.8,76.6,21.3,12.66766021,West
62,137.3,377.6,56313,11.6,0,32,3.08,63.7,79.3,22.5,8.779499824,West
80,104.1,376.1,51735,14.2,157.3069058,25,3.19,56.1,78.2,19.4,7.221172023,West
38,155.9,433.1,47340,15.7,0,35.1,2.61,54.3,70.6,30.8,8.165882856,West
268,119.3,428.8,70797,7.2,5.951619287,30.2,3.29,61.4,81.5,18.8,7.253229221,West
25,155.5,448.1,61976,11.6,0,30.2,2.94,65,73.1,19.9,10.01338091,West
13,113.2,339,49709,12.9,0,34.5,3.02,61.9,73.3,28.4,7.28003573,West
8,105.4,399,45666,12.2,0,39.6,2.75,59.9,67.1,30.1,3.098290598,West
19,179.8,404.1,43344,15,0,39.1,2.44,46.3,57.2,28.8,2.808716707,West
48,131.1,418,43615,22.1,310.122395,28.1,3.07,54.2,63.8,28.1,9.572250479,West
12,136.9,392.3,55204,11.4,0,30,3.29,59.4,70.6,25.5,6.440382942,West
14,129,398.9,48456,11.8,0,43.6,2.55,55.9,64.5,33.4,4.954367666,West
19,131.6,361.5,52623,12.9,0,34.9,2.98,62.7,65.9,29.4,8.884297521,West
11,138.7,380.5,82597,4.6,0,32.3,3.4,69.2,80.6,18.8,6.102877071,West
4,166.4,347.2,56772,10.3,3894.418001,34.7,3.57,62.4,66.6,36.2,7.99086758,West
1056,130.9,417.3,62536,11.9,345.8820172,31.8,3.03,52.1,73.1,20.2,6.633919132,West
16,123.9,261.1,40590,29.2,0,30.6,3.75,44.4,45.4,35.8,4.937906564,West
39,156.7,383.8,44644,17.1,0,30.5,0.0313,54,69.4,27.1,5.587610082,West
35,154.2,417.4,48622,12.1,0,34.1,2.9,59.6,66.3,30.5,9.947524527,West
32,123.6,432.7,92560,6.8,25.231499,38.2,2.75,63.2,81.2,13.5,4.14207772,West
59,146.7,489.9,64193,8.1,0,30.7,3.25,59.4,80.7,17.9,6.916426513,West
35,133.2,365.5,65489,9.6,0,29.7,3.22,57.2,72,21.1,9.686539644,West
361,120.4,394.9,60957,12.6,62.58638225,24.4,3.62,58.8,78.3,17,8.614426925,West
20,114.5,432.5,65207,7.1,205.7542608,33,3.27,59.1,75.6,18.1,3.613892365,West
223,124.8,408.4,50169,12.9,141.3863575,34.6,2.99,59.4,63.9,34.3,6.593968853,West
4,129.3,366.9,42366,14.1,0,40.3,2.74,67.3,68.2,24.7,11.13360324,West
275,134.2,417.9,59293,12.3,221.6339346,31.8,2.94,54.5,72.9,23.5,7.55683473,West
76,173.3,436.9,59089,9.5,0,42.8,2.38,50.3,68.2,39.5,4.669664476,Northeast
100,176.1,488,44674,14.4,55.07062808,46.1,2.25,51.3,61.9,50.6,3.885024281,Northeast
76,184.3,476.2,45029,13.9,259.9090318,43.1,2.43,49.5,60,46.3,3.307540586,Northeast
252,159,463.7,61908,11,632.040748,36.3,2.36,46,77.7,29.2,4.180500351,Northeast
17,171.3,492.7,35570,19.6,0,48.8,2.29,53.9,55.3,51.6,4.942339374,Northeast
95,187.8,450.4,59184,9.1,0,39.9,2.57,53.4,67.9,39.1,4.602473498,Northeast
16,206.1,548.5,60081,9.1,0,47.1,2.34,59.8,69.9,41.2,3.969883641,Northeast
48,173.7,461.6,49142,12.6,118.8825045,40.5,2.39,49.1,63.8,40.3,3.897685749,Northeast
63,175.5,479.7,53025,12.8,34.60327347,45,2.32,54.4,66.9,42.6,4.652301665,Northeast
66,172,438.8,42089,16.2,0,44.8,2.35,51.6,54.6,52.2,4.689807976,Northeast
150,178.8,476,44888,13.5,100.4419446,45.5,2.29,49.4,65.3,44.4,4.093296262,Northeast
123,165.8,467.3,58673,11,443.5951682,43.2,2.32,49.5,71.3,37.3,2.874885005,Northeast
112,183.7,463.3,49616,12.9,0,45.8,2.21,50.7,63.7,45.7,3.546703589,Northeast
133,160.4,461.9,51513,12.1,53.82421013,46.8,2.25,53.4,66.3,43.9,4.807193498,Northeast
106,216.2,479.4,38390,19.4,0,45.3,2.29,52.6,61.8,36.7,4.349749336,South
174,143.8,372.9,67083,9.1,113.5256331,38.6,2.45,51,81.9,22.4,5.043113678,South
50,189.5,401.8,45454,15.8,255.1508579,47.2,2.33,54.2,69.6,41.2,8.070065687,South
35,216.5,522.5,51738,12.9,0,45.8,2.68,57.5,68.7,32.8,6.59515296,South
81,183.9,427.4,43998,13.7,0,43.6,0.0248,50.1,68.8,34.5,5.278870946,South
36,178.9,432.6,44397,15.1,0,42.3,2.55,54.3,68,35.3,4.406073236,South
224,136.5,369.7,107143,8.5,30.54580999,33.9,2.24,42.9,85.7,14,5.34181797,South
163,167.1,408.9,57808,9.8,26.91282935,44.2,2.5,57.3,74.9,30.9,5.594450511,South
14,173,419.3,43852,11.5,0,48.3,2.1,55.1,74.8,31.5,8.043694141,South
20,220.5,472.2,42624,14.1,0,44.8,2.19,53.5,71.6,34.3,5.213270142,South
68,148.7,401.6,63646,7.8,0,46.4,2.55,61.4,82.5,28.2,3.635817308,South
39,165.3,463.4,37344,21.9,0,41.7,2.51,38.6,60,40.7,4.689366786,South
56,175.8,325.8,32083,23.2,0,45.5,2.37,51.6,51,50.3,6.462372316,South
39,191.8,390.1,38731,22.8,0,42.2,0.0268,43.5,59.7,35.9,3.636938646,South
115,160.1,384.7,46663,14.5,0,42.4,2.5,54.6,70.3,33,4.696595168,South
65,201.8,503.8,56099,11,0,39.1,2.48,51.7,70.1,30.2,4.384535624,South
78,172.5,390.6,38474,17,0,46.1,2.37,56.5,62.9,38.8,5.65626049,South
23,214.2,492.6,49768,13.1,0,48.6,2.47,44.7,67,36.3,4.814305365,South
33,182.2,434.4,36339,20.7,0,44.6,2.57,44.5,56.2,39.2,2.903225806,South
496,165,497,72972,8.3,74.47413811,38.2,2.78,52.6,79.6,22.4,4.829985959,South
38,197.4,417.9,70281,8.2,0,45.7,2.55,50.7,75.4,25.8,6.678141136,South
13,169.4,389.7,46551,12.4,4221.838419,47.1,2.35,57.3,65.8,40.4,6.776556777,South
90,187.1,421.6,62394,11,20.22981065,38.9,2.83,55.9,72.7,25.8,4.025191676,South
24,179.2,436.4,41409,19,0,44.3,2.45,45.8,57.4,40.2,7.259953162,South
46,218.9,356.4,32103,21.3,0,43.4,2.43,55.5,57.7,46.7,6.491885144,South
60,185.4,414.5,52288,12.1,0,42.4,2.74,45.1,71.1,31.2,5.697445973,South
29,183.4,433.5,48277,14.5,0,44.8,2.53,45.4,67.2,35.3,1.972920696,South
1229,126.9,381.8,110507,6.7,153.208537,37.4,2.85,56,81.8,17.1,5.344658861,South
116,162.9,369.4,89106,7.4,43.61606234,41.5,2.84,57.5,80.7,21.3,5.083533771,South
30,138,372.4,43355,14.1,2875.215641,45.2,2.46,58.9,69.8,33.6,4.274857505,South
56,176.5,435.3,64258,7.9,0,41.6,2.5,58.6,80,26.3,5.34985643,South
124,162,422.8,47419,16.3,0,45,2.36,58.4,67.4,35,5.965766068,South
157,185.3,456.6,65485,7.7,0,40.1,2.72,57.4,75.7,24.2,5.175688509,South
46,189.4,403.8,45979,13.5,598.5156811,43.9,2.32,50.7,68.7,33.1,8.255410099,South
90,200.4,491.8,58900,9.7,26.92297337,43.6,2.57,57.9,76.4,26.8,4.308202154,South
43,153.4,486.9,86610,7.5,0,47.2,2.5,62.8,81.6,27.4,2.75862069,South
50,196,355.3,31893,19.9,0,47.6,2.24,55.2,56.6,46.3,6.072477963,South
24,174.7,492.2,36459,25.1,0,42.9,2.17,38.4,65.8,37.8,1.886792453,South
97,178.3,412.7,39079,18,28.46975089,45.3,2.43,47.8,59.3,41,5.521048999,South
185,163.7,496.6,81940,6.1,106.5612679,41.9,2.65,58.9,84.7,22.1,4.125165648,South
565,169.1,444.7,62446,11,153.772816,37.9,2.54,46.9,76,24.4,5.200247219,South
163,147.7,409.3,44490,24.9,0,31.4,3.19,44.3,55.9,37.6,6.638754179,West
176,190.6,460.1,36333,24.3,0,45.5,2.34,45.4,47.6,50.6,6.718511986,West
54,169.9,365.7,49995,19.4,0,37,2.24,43.5,66.6,38.6,7.549668874,West
14010,148.4,405.5,55686,18.7,255.9415207,35.6,3.02,42.4,55,32.9,4.70528099,West
212,147.5,420.3,43171,22.3,109.6788346,33.5,3.35,47.6,45.8,46.9,6.972732188,West
483,135.2,475,94549,8.8,421.0993756,45.4,2.41,51.8,78.4,28.9,5.448237059,West
43,147.6,396.8,47781,16.2,0,50.6,2.29,58.2,68.6,41.3,9.589041096,West
197,167.5,452.2,42840,18.8,79.86400301,42.2,2.51,45.1,49.3,49.2,5.383139601,West
343,162.9,415.9,43818,24.8,29.80015273,30.4,3.32,45.8,48,44.4,6.393691516,West
24,160.8,408.6,39172,20.2,111.5448968,47.8,2.32,52.1,50.8,50.3,8.313253012,West
13,102.1,320.8,59181,11.3,0,38.5,2.82,42.2,56.7,29.7,1.991310644,West
